Номер вагона,Код станции операции,Название станции операции,Номер поезда,Индекс поезда,Операция,Дата операции,Код груза,Название груза,Вес груза,Код станции назначения,Название станции назначения,Код отправителя,Код получателя,Код станции отправления,Станция начала рейса,Дата приема груза к перевозке
52733565,48560,МАРИУП-СОРТ,242,48560+0+31340,ВЫГ2,6/20/17 13:20,16101,АНТРАЦИТ,0,48560,МАРИУП-СОРТ,3145,3134,48560,МАРИУП-СОРТ,6/20/17 13:20
52733565,48560,МАРИУП-СОРТ,0,48560+107+31340,ОКОТ,6/20/17 4:09,16101,АНТРАЦИТ,70,48560,МАРИУП-СОРТ,3145,3134,43830,ВАЛУЙКИ,6/2/17 14:23
52749884,50770,ОГОРОДНЫЙ,242,50770+0+22490,ВЫГ2,6/18/17 17:10,16101,АНТРАЦИТ,0,50770,ОГОРОДНЫЙ,3145,2249,50770,ОГОРОДНЫЙ,6/18/17 17:10
52749959,43830,ВАЛУЙКИ,2249,43830+0+0,ПСНГ,6/19/17 21:10,16101,АНТРАЦИТ,70,50770,ОГОРОДНЫЙ,2249,2249,43830,ВАЛУЙКИ,6/19/17 21:10
52876729,50770,ОГОРОДНЫЙ,242,50770+0+22490,ВЫГ2,6/18/17 17:10,16101,АНТРАЦИТ,0,50770,ОГОРОДНЫЙ,3145,2249,50770,ОГОРОДНЫЙ,6/18/17 17:10
52877677,50770,ОГОРОДНЫЙ,0,50770+228+23490,ОТОТ,6/19/17 0:10,16101,АНТРАЦИТ,70,50770,ОГОРОДНЫЙ,3145,2249,43830,ВАЛУЙКИ,6/15/17 12:30
52877677,50770,ОГОРОДНЫЙ,242,50770+0+22490,ВЫГ2,6/19/17 17:10,16101,АНТРАЦИТ,0,50770,ОГОРОДНЫЙ,3145,2249,43830,ВАЛУЙКИ,6/15/17 12:30
52877693,43830,ВАЛУЙКИ,2249,43830+0+0,ПСНГ,6/19/17 21:10,16101,АНТРАЦИТ,70,50770,ОГОРОДНЫЙ,2249,2249,43830,ВАЛУЙКИ,6/19/17 21:10
52878022,58890,ЗВЕРЕВСКАЯ,410,0+0+0,ПГР2,6/20/17 15:40,16101,АНТРАЦИТ,70,50770,ОГОРОДНЫЙ,2249,2249,50770,ОГОРОДНЫЙ,5/31/17 17:50
52878022,58890,ЗВЕРЕВСКАЯ,0,0+0+0,ПГР2,6/20/17 16:40,16101,АНТРАЦИТ,70,50770,ОГОРОДНЫЙ,2249,0,50770,ОГОРОДНЫЙ,5/31/17 17:50
